is_multi_model,sampler,scheduler,skip_mode,adaptive_mode,smoothing_beta,anchor_interval,max_consecutive_skips,model_type,total_steps,model_calls,skipped,reduction_percent,total_time_seconds,seed,ssim,rmse,mae,is_baseline,folder_name,prompt,image_path,is_true_baseline,baseline_time,time_saved_seconds,time_saved_percent
False,euler,simple,none,none,0.995,,,qwen-image,50,25,0,0.0,145.39101457595825,1998,,,,True,2025-10-18_12-00-39_1760785239_qwen-image_baseline,,,True,145.39101457595825,0.0,0.0
False,euler,simple,h2/s2,learning,0.995,4.0,2.0,qwen-image,50,18,7,14.000000000000002,105.98002409934998,1998,0.9550496339797974,0.05045023933053017,0.01970011368393898,False,2025-10-18_12-17-28_1760786248_qwen-image,,,False,145.39101457595825,39.410990476608276,27.106895561292305
False,euler,simple,h2/s3,learning,0.995,4.0,2.0,qwen-image,50,20,5,10.0,116.3949408531189,1998,0.9732590913772583,0.024707725271582603,0.012162311002612114,False,2025-10-18_12-19-17_1760786357_qwen-image,,,False,145.39101457595825,28.996073722839355,19.943511507508337
False,euler,simple,h2/s4,learning,0.995,4.0,2.0,qwen-image,50,21,4,8.0,125.38225150108337,1998,0.9696096181869507,0.028300749137997627,0.01239560917019844,False,2025-10-18_12-21-16_1760786476_qwen-image,,,False,145.39101457595825,20.008763074874878,13.762035524156465
False,euler,simple,h2/s5,learning,0.995,4.0,2.0,qwen-image,50,22,3,6.0,133.59457850456238,1998,0.9952232837677002,0.010464482009410858,0.005330861080437899,False,2025-10-18_12-23-24_1760786604_qwen-image,,,False,145.39101457595825,11.796436071395874,8.113593612233121
False,euler,simple,h3/s3,learning,0.995,4.0,2.0,qwen-image,50,20,5,10.0,123.17715716362,1998,0.9645084142684937,0.03158896416425705,0.014553716406226158,False,2025-10-18_12-25-41_1760786741_qwen-image,,,False,145.39101457595825,22.213857412338257,15.278700322111598
False,euler,simple,h3/s4,learning,0.995,4.0,2.0,qwen-image,50,21,4,8.0,128.4853732585907,1998,0.9779549241065979,0.03690546005964279,0.011598486453294754,False,2025-10-18_12-27-46_1760786866_qwen-image,,,False,145.39101457595825,16.905641317367554,11.627707095018138
False,euler,simple,h3/s5,learning,0.995,4.0,2.0,qwen-image,50,22,3,6.0,134.77858901023865,1998,0.9732080101966858,0.027003847062587738,0.01125416625291109,False,2025-10-18_12-29-58_1760786998_qwen-image,,,False,145.39101457595825,10.612425565719604,7.2992306963889
False,euler,simple,h4/s4,learning,0.995,4.0,2.0,qwen-image,50,21,4,8.0,131.24442648887634,1998,0.9512252807617188,0.03744226321578026,0.01793464832007885,False,2025-10-18_12-32-15_1760787135_qwen-image,,,False,145.39101457595825,14.14658808708191,9.730029141306492
False,euler,simple,h4/s5,learning,0.995,4.0,2.0,qwen-image,50,22,3,6.0,138.07386350631714,1998,0.9783985614776611,0.025394508615136147,0.011524876579642296,False,2025-10-18_12-34-29_1760787269_qwen-image,,,False,145.39101457595825,7.317151069641113,5.032739534132856
False,euler,simple,adaptive,learning,0.995,4.0,2.0,qwen-image,50,14,11,22.0,87.84110045433044,1998,0.8316592574119568,0.08391398936510086,0.05339662730693817,False,2025-10-18_12-36-50_1760787410_qwen-image,,,False,145.39101457595825,57.54991412162781,39.58285475170226
False,euler,simple,h2/s2,grad_est,0.995,4.0,2.0,qwen-image,50,18,7,14.000000000000002,113.24652409553528,1998,0.916063129901886,0.06179394945502281,0.03322436287999153,False,2025-10-18_12-38-21_1760787501_qwen-image,,,False,145.39101457595825,32.144490480422974,22.1089938564459
False,euler,simple,h2/s3,grad_est,0.995,4.0,2.0,qwen-image,50,20,5,10.0,126.02761936187744,1998,0.9146028757095337,0.049232155084609985,0.025509390980005264,False,2025-10-18_12-40-16_1760787616_qwen-image,,,False,145.39101457595825,19.36339521408081,13.318151242396468
False,euler,simple,h2/s4,grad_est,0.995,4.0,2.0,qwen-image,50,21,4,8.0,131.7034375667572,1998,0.9598821401596069,0.034762367606163025,0.01579037308692932,False,2025-10-18_12-42-25_1760787745_qwen-image,,,False,145.39101457595825,13.68757700920105,9.41432113196383
False,euler,simple,h2/s5,grad_est,0.995,4.0,2.0,qwen-image,50,22,3,6.0,138.59736132621765,1998,0.982244610786438,0.033346887677907944,0.01030462235212326,False,2025-10-18_12-44-40_1760787880_qwen-image,,,False,145.39101457595825,6.793653249740601,4.672677516939203
False,euler,simple,h3/s3,grad_est,0.995,4.0,2.0,qwen-image,50,20,5,10.0,124.7998321056366,1998,0.9409575462341309,0.049157340079545975,0.022588256746530533,False,2025-10-18_12-47-01_1760788021_qwen-image,,,False,145.39101457595825,20.591182470321655,14.162623825397388
False,euler,simple,h3/s4,grad_est,0.995,4.0,2.0,qwen-image,50,21,4,8.0,131.62827467918396,1998,0.9634174704551697,0.042929757386446,0.017621269449591637,False,2025-10-18_12-49-09_1760788149_qwen-image,,,False,145.39101457595825,13.762739896774292,9.466018197145237
False,euler,simple,h3/s5,grad_est,0.995,4.0,2.0,qwen-image,50,22,3,6.0,136.76351594924927,1998,0.9565632939338684,0.03681132197380066,0.016703428700566292,False,2025-10-18_12-51-23_1760788283_qwen-image,,,False,145.39101457595825,8.627498626708984,5.933997126212792
False,euler,simple,h4/s4,grad_est,0.995,4.0,2.0,qwen-image,50,21,4,8.0,131.9231972694397,1998,0.8934453129768372,0.06065385788679123,0.03210557997226715,False,2025-10-18_12-53-42_1760788422_qwen-image,,,False,145.39101457595825,13.467817306518555,9.263170317504327
