is_multi_model,sampler,scheduler,skip_mode,adaptive_mode,smoothing_beta,anchor_interval,max_consecutive_skips,model_type,total_steps,model_calls,skipped,reduction_percent,total_time_seconds,seed,ssim,rmse,mae,is_baseline,folder_name,prompt,image_path,is_true_baseline,baseline_time,time_saved_seconds,time_saved_percent
True,res_2s,beta+bong_tangent,h2/s5,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,190.9561414718628,2087,0.9631656408309937,0.03423004597425461,0.013550106436014175,False,2025-10-19_08-21-38_1760858498_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,22.631142616271973,10.595735000279065
True,res_2s,beta+bong_tangent,h3/s3,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,195.3758101463318,2087,0.9399241209030151,0.04185432195663452,0.019402725622057915,False,2025-10-19_08-25-19_1760858719_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,18.21147394180298,8.526478539934141
True,res_2s,beta+bong_tangent,h3/s4,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,186.58585476875305,2087,0.9500194787979126,0.03949855640530586,0.016362087801098824,False,2025-10-19_08-28-50_1760858930_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,27.001429319381714,12.641871183791931
True,res_2s,beta+bong_tangent,h3/s5,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,194.33532333374023,2087,0.9710373878479004,0.026231875643134117,0.012099665589630604,False,2025-10-19_08-32-35_1760859155_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,19.25196075439453,9.013626834849585
True,res_2s,beta+bong_tangent,h4/s4,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,199.5384817123413,2087,0.9276371002197266,0.043069180101156235,0.02020067721605301,False,2025-10-19_08-36-24_1760859384_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,14.048802375793457,6.577546241000168
True,res_2s,beta+bong_tangent,h4/s5,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,203.2260684967041,2087,0.9323117733001709,0.03802712634205818,0.01860215701162815,False,2025-10-19_08-40-12_1760859612_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,10.361215591430664,4.8510451526483225
True,res_2s,beta+bong_tangent,adaptive,grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,17,9,34.61538461538461,135.85016417503357,2087,0.8395522832870483,0.08495023101568222,0.04178315028548241,False,2025-10-19_08-42-52_1760859772_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,77.7371199131012,36.39594943349891
True,res_2s,beta+bong_tangent,h2/s2,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,20,6,23.076923076923077,154.62402081489563,2087,0.9136425852775574,0.05989517271518707,0.02783294767141342,False,2025-10-19_08-46-47_1760860007_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,58.963263273239136,27.606167438745327
True,res_2s,beta+bong_tangent,h2/s3,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,21,5,19.230769230769234,163.30156326293945,2087,0.8956888318061829,0.08086695522069931,0.037008050829172134,False,2025-10-19_08-49-53_1760860193_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,50.28572082519531,23.543405704079923
True,res_2s,beta+bong_tangent,h2/s4,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,188.38019680976868,2087,0.9503076672554016,0.03742646425962448,0.015428201295435429,False,2025-10-19_08-53-29_1760860409_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,25.20708727836609,11.80177339956466
True,res_2s,beta+bong_tangent,h2/s5,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,193.71854424476624,2087,0.9631656408309937,0.03423004597425461,0.013550106436014175,False,2025-10-19_08-57-14_1760860634_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,19.86873984336853,9.302398280962215
True,res_2s,beta+bong_tangent,h3/s3,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,180.03267812728882,2087,0.9399241209030151,0.04185432195663452,0.019402725622057915,False,2025-10-19_09-00-38_1760860838_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,33.55460596084595,15.71002042752693
True,res_2s,beta+bong_tangent,h3/s4,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,23,3,11.538461538461538,188.06239819526672,2087,0.9500194787979126,0.03949855640530586,0.016362087801098824,False,2025-10-19_09-04-03_1760861043_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,25.524885892868042,11.950564380197576
True,res_2s,beta+bong_tangent,h3/s5,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,197.3092484474182,2087,0.9710373878479004,0.026231875643134117,0.012099665589630604,False,2025-10-19_09-07-51_1760861271_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,16.278035640716553,7.621256906848245
True,res_2s,beta+bong_tangent,h4/s4,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,196.45577836036682,2087,0.9276371002197266,0.043069180101156235,0.02020067721605301,False,2025-10-19_09-11-24_1760861484_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,17.131505727767944,8.020845342412235
True,res_2s,beta+bong_tangent,h4/s5,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,24,2,7.6923076923076925,193.18922543525696,2087,0.9323117733001709,0.03802712634205818,0.01860215701162815,False,2025-10-19_09-15-05_1760861705_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,20.398058652877808,9.55022146564715
True,res_2s,beta+bong_tangent,adaptive,learn+grad_est,0.995,4.0,2.0,wan22-high-noise+wan22-high-noise,26,17,9,34.61538461538461,135.67784905433655,2087,0.8395522832870483,0.08495023101568222,0.04178315028548241,False,2025-10-19_09-17-37_1760861857_wan22-high-noise+wan22-high-noise,,,False,213.58728408813477,77.90943503379822,36.47662610928169
