is_multi_model,sampler,scheduler,skip_mode,adaptive_mode,smoothing_beta,anchor_interval,max_consecutive_skips,model_type,total_steps,model_calls,skipped,reduction_percent,total_time_seconds,seed,ssim,rmse,mae,is_baseline,folder_name,prompt,image_path,is_true_baseline,baseline_time,time_saved_seconds,time_saved_percent
False,res_2s,simple,h2/s2,learning,0.9985,4.0,2.0,flux-dev,20,15,5,25.0,119.5049180984497,2028,0.9282448291778564,0.05322561413049698,0.01801607757806778,False,2025-10-17_12-18-47_1760699927_flux-dev,,,False,160.25741529464722,40.75249719619751,25.42939877151425
False,res_2s,simple,h2/s3,learning,0.9985,4.0,2.0,flux-dev,20,16,4,20.0,125.61676907539368,2028,0.9532924890518188,0.035386618226766586,0.01348453015089035,False,2025-10-17_12-20-53_1760700053_flux-dev,,,False,160.25741529464722,34.64064621925354,21.615627679732444
False,res_2s,simple,h2/s4,learning,0.9985,4.0,2.0,flux-dev,20,17,3,15.0,134.78641486167908,2028,0.9817824363708496,0.017307380214333534,0.006618079263716936,False,2025-10-17_12-23-05_1760700185_flux-dev,,,False,160.25741529464722,25.47100043296814,15.893804593152513
False,res_2s,simple,h2/s5,learning,0.9985,4.0,2.0,flux-dev,20,18,2,10.0,144.11985158920288,2028,0.9781628251075745,0.019648484885692596,0.0074336472898721695,False,2025-10-17_12-25-26_1760700326_flux-dev,,,False,160.25741529464722,16.137563705444336,10.069776600211615
False,res_2s,simple,h3/s3,learning,0.9985,4.0,2.0,flux-dev,20,16,4,20.0,127.21516275405884,2028,0.9649189710617065,0.03389202430844307,0.011019088327884674,False,2025-10-17_12-27-57_1760700477_flux-dev,,,False,160.25741529464722,33.04225254058838,20.61823627932431
False,res_2s,simple,h3/s4,learning,0.9985,4.0,2.0,flux-dev,20,17,3,15.0,135.5275490283966,2028,0.9645193815231323,0.02590327337384224,0.010166396386921406,False,2025-10-17_12-30-10_1760700610_flux-dev,,,False,160.25741529464722,24.72986626625061,15.431339773440497
False,res_2s,simple,h3/s5,learning,0.9985,4.0,2.0,flux-dev,20,18,2,10.0,143.67873740196228,2028,0.975624680519104,0.021050211042165756,0.007866804488003254,False,2025-10-17_12-32-32_1760700752_flux-dev,,,False,160.25741529464722,16.578677892684937,10.345030126814159
False,res_2s,simple,h4/s4,learning,0.9985,4.0,2.0,flux-dev,20,17,3,15.0,134.23660683631897,2028,0.9600968956947327,0.030317241325974464,0.011126487515866756,False,2025-10-17_12-35-02_1760700902_flux-dev,,,False,160.25741529464722,26.020808458328247,16.236882649384256
False,res_2s,simple,h4/s5,learning,0.9985,4.0,2.0,flux-dev,20,18,2,10.0,142.79698657989502,2028,0.9459909200668335,0.03345952555537224,0.015307296067476273,False,2025-10-17_12-37-23_1760701043_flux-dev,,,False,160.25741529464722,17.460428714752197,10.895239189181778
False,res_2s,simple,adaptive,learning,0.9985,4.0,2.0,flux-dev,20,11,9,45.0,86.5800199508667,2028,0.7341105937957764,0.16336467862129211,0.11195528507232666,False,2025-10-17_12-39-52_1760701192_flux-dev,,,False,160.25741529464722,73.67739534378052,45.97440636885239
False,res_2s,simple,adaptive,learning,0.9985,3.0,2.0,flux-dev,20,10,10,50.0,77.42485785484314,2028,0.7279095649719238,0.1364884078502655,0.08088915050029755,False,2025-10-17_12-41-25_1760701285_flux-dev,,,False,160.25741529464722,82.83255743980408,51.687191689388726
False,res_2s,simple,none,none,0.9985,,,flux-dev,20,20,0,0.0,160.25741529464722,2028,,,,True,2025-10-17_12-42-49_1760701369_flux-dev_baseline,,,True,160.25741529464722,0.0,0.0
False,res_2s,simple,h2/s2,grad_est,0.9985,3.0,2.0,flux-dev,20,15,5,25.0,117.84785223007202,2028,0.9282448291778564,0.05322561413049698,0.01801607757806778,False,2025-10-17_12-45-35_1760701535_flux-dev,,,False,160.25741529464722,42.409563064575195,26.463401388698
False,res_2s,simple,h2/s3,grad_est,0.9985,3.0,2.0,flux-dev,20,16,4,20.0,127.97578978538513,2028,0.9532924890518188,0.035386618226766586,0.01348453015089035,False,2025-10-17_12-47-39_1760701659_flux-dev,,,False,160.25741529464722,32.281625509262085,20.143607988378886
False,res_2s,simple,h2/s4,grad_est,0.9985,3.0,2.0,flux-dev,20,17,3,15.0,135.14618468284607,2028,0.9817824363708496,0.017307380214333534,0.006618079263716936,False,2025-10-17_12-49-54_1760701794_flux-dev,,,False,160.25741529464722,25.111230611801147,15.669309632650672
False,res_2s,simple,h2/s5,grad_est,0.9985,3.0,2.0,flux-dev,20,18,2,10.0,144.07057189941406,2028,0.9781628251075745,0.019648484885692596,0.0074336472898721695,False,2025-10-17_12-52-15_1760701935_flux-dev,,,False,160.25741529464722,16.186843395233154,10.10052693379101
False,res_2s,simple,h3/s3,grad_est,0.9985,3.0,2.0,flux-dev,20,16,4,20.0,132.2025010585785,2028,0.9649189710617065,0.03389202430844307,0.011019088327884674,False,2025-10-17_12-54-46_1760702086_flux-dev,,,False,160.25741529464722,28.054914236068726,17.50615669452008
False,res_2s,simple,h3/s4,grad_est,0.9985,3.0,2.0,flux-dev,20,17,3,15.0,138.18944358825684,2028,0.9645193815231323,0.02590327337384224,0.010166396386921406,False,2025-10-17_12-57-05_1760702225_flux-dev,,,False,160.25741529464722,22.06797170639038,13.770327985021154
False,res_2s,simple,h3/s5,grad_est,0.9985,3.0,2.0,flux-dev,20,18,2,10.0,148.69575786590576,2028,0.975624680519104,0.021050211042165756,0.007866804488003254,False,2025-10-17_12-59-29_1760702369_flux-dev,,,False,160.25741529464722,11.561657428741455,7.214428990686228
